time,originalSignal_1,originalSignal_2,reconstruction_1,reconstruction_2,norm_p,norm_P
0.4646464646464647,1.1040404040404042,0.23535353535353526,1.1352139910129904,0.23320752521185129,0.37344414847941204,1.0240061297320964
0.4747474747474748,1.1171717171717173,0.22525252525252515,1.1515743674386523,0.22224227100665306,0.5488686651825575,1.062493690150804
0.48484848484848486,1.1303030303030304,0.2151515151515151,1.1679347438643142,0.21127701680145494,0.7681630988046466,1.126595988390575
0.494949494949495,1.1434343434343435,0.20505050505050498,1.184295120289976,0.20031176259625671,1.030563519995578,1.2044187913290667
0.5050505050505051,1.9949494949494948,0.1,1.8754815212192504,0.1582374409121282,0.8379091353642565,1.3132810946850357
0.5151515151515152,1.9848484848484849,0.1,1.889162156147148,0.14776725453253337,0.18769007107183647,1.3626080701273
0.5252525252525253,1.9747474747474747,0.1,1.9002681374791546,0.13777272155400866,0.3599378140150653,1.3533069100638717
0.5353535353535354,1.9646464646464645,0.1,1.911374118811161,0.12777818857548384,0.7580444077095279,1.2945724636760447
0.5454545454545455,1.9545454545454546,0.1,1.9224801001431675,0.1177836555969588,1.0156966039279802,1.206555196400962
0.5555555555555556,1.9444444444444444,0.1,1.9335860814751742,0.1077891226184341,1.154183127678808,1.0959283075534638
0.5656565656565657,1.9343434343434343,0.1,1.9328580739546004,0.10337794058508154,1.1792283963826728,0.9794363620419427
0.5757575757575758,1.9242424242424243,0.1,1.922831932335571,0.10335367715150745,1.170406705372123,0.8618699377853846
0.5858585858585859,1.9141414141414141,0.1,1.9128057907165414,0.10332941371793336,1.1483127016273722,0.7453898398536803
0.595959595959596,1.904040404040404,0.1,1.9027796490975117,0.10330515028435916,1.1157463467459885,0.6318638528187221
0.6060606060606061,1.893939393939394,0.1,1.8927535074784823,0.10328088685078507,1.098036796244391,0.5219764004752118
0.6161616161616162,1.8838383838383836,0.1,1.8827273658594528,0.10325662341721098,1.0726785456932866,0.41290656861763675
0.6262626262626263,1.8737373737373737,0.1,1.872701224240423,0.10323235998363689,1.0423909303904244,0.3087051566656623
0.6363636363636365,1.8636363636363635,0.1,1.8626750826213934,0.1032080965500628,1.0136668532720734,0.20735318858303473
0.6464646464646465,1.8535353535353534,0.1,1.8526489410023639,0.1031838331164886,0.9988063222478214,0.11701993998256534
0.6565656565656566,1.8434343434343434,0.1,1.8426227993833344,0.10315956968291451,1.0338318997629712,0.06845506235560514
0.6666666666666667,1.8333333333333333,0.1,1.832596657764305,0.10313530624934042,1.072243819829233,0.132128733015779
0.6767676767676768,1.823232323232323,0.1,1.8225705161452752,0.10311104281576633,1.0741958144423753,0.23303288678847625
0.686868686868687,1.8131313131313131,0.1,1.8125443745262457,0.10308677938219224,1.0397849993304438,0.3364363575947093
0.696969696969697,1.803030303030303,0.1,1.8025182329072162,0.10306251594861793,1.004037814452639,0.43832140616001247
0.7070707070707072,1.7929292929292928,0.1,1.7924920912881863,0.10303825251504395,1.0031563694108738,0.5391203454261867
0.7171717171717172,1.7828282828282829,0.1,1.782465949669157,0.10301398908146975,0.9994335235771971,0.6415315119803832
0.7272727272727273,1.7727272727272727,0.1,1.7724398080501276,0.10298972564789566,1.0109438458709419,0.741156474476711
0.7373737373737375,1.7626262626262625,0.1,1.7624136664310976,0.10296546221432157,0.9948988243772029,0.8464717615617963
